SKU,Produto,Anúncio atual,Estado ML,Revisão,Motivo
VTK018989,Modulo Automação Tury Teto Solar Sky1.0 Universal,,sem_anuncio,REPOSICAO_PENDENTE_CATEGORIA,Antigo excluído e nenhum substituto criado. Preparação anterior MLB459304 não aprovada nesta recuperação; categoria precisa para módulo de automação do teto permanece pendente. Lote bloqueado.
VTK018227,Kit Adaptador Aquário Cf-195 Para Samsumg Slim Tdma Motorola,MLB5200157973,paused,PAUSA_MANUAL_CATEGORIA_NAO_CONFIRMADA,"Adaptador RF entre antena externa e celular/modem. A categoria de adaptadores genéricos é a mesma rejeitada pelo ML para o CF-440 de aplicação equivalente; a revisão não confirmou sua adequação. Manter pausa manual, sem declarar infração individual do ML."
VTK017685,Kit Adaptador Aquario Cf-440 Para Celular Motorola Moto G2,MLB5200165351,under_review,MODERACAO_CATEGORIA_PENDENTE,ML confirmou DOMAIN_WRONG_CATEG_V2. Consulta de categoria sugerida retornou HTTP 403. Não republicar por tentativa.
VTK017204,Kit Adaptador Para Celular Proeletronic Pqkc 0375,MLB5200232477,paused,PAUSA_MANUAL_CATEGORIA_NAO_CONFIRMADA,"Adaptador RF entre antena externa e celular/modem. A categoria de adaptadores genéricos é a mesma rejeitada pelo ML para o CF-440 de aplicação equivalente; a revisão não confirmou sua adequação. Manter pausa manual, sem declarar infração individual do ML."
VTK018734,Kit Adaptador Para Celular Aquario Cf-495 Samsung S4 Mini,MLB5200232593,paused,PAUSA_MANUAL_CATEGORIA_NAO_CONFIRMADA,"Adaptador RF entre antena externa e celular/modem. A categoria de adaptadores genéricos é a mesma rejeitada pelo ML para o CF-440 de aplicação equivalente; a revisão não confirmou sua adequação. Manter pausa manual, sem declarar infração individual do ML."
VTK018346,Kit Adaptador Aquário Cf-215 Para Rgc-213 15m,MLB7602742570,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK019021,Kit Adaptador Aquário Cf-400 Para Modens Huawei,MLB5200232709,paused,PAUSA_MANUAL_CATEGORIA_NAO_CONFIRMADA,"Adaptador RF entre antena externa e celular/modem. A categoria de adaptadores genéricos é a mesma rejeitada pelo ML para o CF-440 de aplicação equivalente; a revisão não confirmou sua adequação. Manter pausa manual, sem declarar infração individual do ML."
VTK018962,Kit Cabo Cc-03 Para Usar Divisor Dv-02 Aquário,MLB7602742716,paused,CATEGORIA_POR_APLICACAO_PENDENTE,"Cabo coaxial/extensão para antena ou sinal RF, atualmente em Outros Cabos de eletrônicos/áudio/vídeo. A revisão ainda não confirmou a categoria específica por aplicação. MLB70452 é de radiocomunicadores e não deve ser aplicada indistintamente a cabos de TV, celular e antena automotiva."
VTK019011,Controle Canivete Fks Cr750 Linha Toyota,MLB7602733162,paused,CATEGORIA_ESPECIFICA_SEM_ME2,Controle/chaveiro de alarme automotivo cadastrado em segurança residencial. Categoria específica MLB440306 não oferece me2 na consulta atual. Manter pendente com Mercado Envios obrigatório.
VTK018052,Chaveiro Positron Px-80 Canivete,MLB7602756074,under_review,CATEGORIA_ESPECIFICA_SEM_ME2,Controle/chaveiro de alarme automotivo cadastrado em segurança residencial. Categoria específica MLB440306 não oferece me2 na consulta atual. Manter pendente com Mercado Envios obrigatório.
VTK018070,Chaveiro Positron Pxn74 - 13000000,MLB7602756162,under_review,CATEGORIA_ESPECIFICA_SEM_ME2,Controle/chaveiro de alarme automotivo cadastrado em segurança residencial. Categoria específica MLB440306 não oferece me2 na consulta atual. Manter pendente com Mercado Envios obrigatório.
VTK019012,Controle Canivete Fks Cr965 Linha Hyundai,MLB7602745974,paused,CATEGORIA_ESPECIFICA_SEM_ME2,Controle/chaveiro de alarme automotivo cadastrado em segurança residencial. Categoria específica MLB440306 não oferece me2 na consulta atual. Manter pendente com Mercado Envios obrigatório.
VTK019216,Controle Canivete Fks Cr740 Linha Honda,MLB7602746098,under_review,CATEGORIA_ESPECIFICA_SEM_ME2,Controle/chaveiro de alarme automotivo cadastrado em segurança residencial. Categoria específica MLB440306 não oferece me2 na consulta atual. Manter pendente com Mercado Envios obrigatório.
VTK018836,Controle Remoto Fks Cr800 04 Botões Copiador,MLB7602745692,under_review,RESTRICAO_ML,Restrição DECODIFICADORES do ML preservada. Não recriar nem alterar dados para contornar.
