index,sku,state,item_id,catalog_product_id,price,margin_percent,persisted,observation
"20","VTK000039","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432632852","MLB22361716","349.9","54.764218","true",""""""
"21","VTK018079","SOURCE_DEFERRED","","","","","false","""NWT microfan voltage and category identity lack official evidence in the validated source set"""
"22","VTK001762","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432632892","MLB28218432","289.9","55.35357","true",""""""
"23","VTK001077","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856565","MLB15284403","619.9","55.41539","true",""""""
"24","VTK006274","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog MODEL A06V6_S diverges from local/supplier MODEL TVA06V6S"""
"25","VTK002437","BLOCK_REQUIRED_ATTRIBUTE","","MLB35894914","","","false","""missing category-required attributes: MODEL"""
"26","VTK006444","BLOCK_REQUIRED_ATTRIBUTE","","MLB22520390","","","false","""missing category-required attributes: POWER_SUPPLY_TYPE"""
"27","VTK003366","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856591","MLB21272052","259.9","55.629088","true",""""""
"28","VTK018077","BLOCK_CATEGORY","","MLB45026556","","","false","""category contract/domain is not a high-confidence match"""
"29","VTK006158","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432766020","MLB46996574","269.9","54.924046","true",""""""
"30","VTK000518","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"31","VTK000619","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856655","MLB32168602","2919.9","55.012843","true",""""""
"32","VTK001246","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856705","MLB26428961","289.9","54.891342","true",""""""
"33","VTK001572","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432766170","MLB22319192","459.9","55.507719","true",""""""
"34","VTK000216","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog MODEL 21K203 and title SC40 34W diverge from local CP40S Plus 40W identity"""
"35","VTK018106","SOURCE_DEFERRED","","","","","false","""Viaweb GPRS IP 2.3 lacks exact official/catalog identity in the validated source set"""
"36","VTK017636","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""exact GTIN catalog is a five-unit kit while local commercial unit is one divider"""
"37","VTK001057","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"38","VTK001007","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","","","","","false","""GTIN-14 carton of six blender jars lacks official packaging/category evidence"""
"39","VTK018129","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog MODEL is Intelbras instead of XAT 1018 MT"""
"40","VTK022455","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432766214","MLB16268838","609.9","55.182817","true",""""""
"41","VTK018134","BLOCK_CATEGORY","","","","","false","""Cabletech Master 40 RGC06 has no high-confidence category in the validated source set"""
"42","VTK001063","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"43","VTK001732","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075856847","MLB43132601","289.9","55.146602","true",""""""
"44","VTK012223","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""exact GTIN catalog is a ten-battery offer while local commercial unit is one battery"""
"45","VTK001875","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""exact GTIN catalog is one string while local commercial unit is a dozen"""
"46","VTK000809","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633246","MLB41174119","339.9","54.268903","true",""""""
"47","VTK018199","BLOCK_CATEGORY","","","","","false","""Locktronic ultrasonic sensor category resolution is not high-confidence"""
"48","VTK001282","SOURCE_DEFERRED","","","","","false","""Fortrek Ergo One screw-pack identity lacks official part evidence"""
"49","VTK001109","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"50","VTK001643","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""exact GTIN catalog represents one connector while local commercial unit is 100 connectors"""
"51","VTK003839","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633282","MLB24043842","2639.9","55.210046","true",""""""
"52","VTK001039","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"53","VTK018113","SOURCE_DEFERRED","","","","","false","""Aquário Viúva Negra 11 m lacks exact official/catalog identity in the validated source set"""
"54","VTK018304","SOURCE_DEFERRED","","","","","false","""Permak Honda Civic application identity lacks primary documentation"""
"55","VTK001834","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","","","","","false","""Storm JCPQ0001 ten-unit kit lacks official required connector evidence"""
"56","VTK001173","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"57","VTK001165","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"58","VTK012842","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432766370","MLB73749268","999.9","54.519452","true",""""""
"59","VTK002521","BLOCK_REQUIRED_ATTRIBUTE","","MLB24335881","","","false","""missing category-required attributes: BASS_GUITAR_TYPE"""
"60","VTK026019","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog MODEL SMD08 diverges from local/supplier SDM-08"""
"61","VTK018297","BLOCK_CATEGORY","","","","","false","""Telecam alarm cable catalog/domain category evidence is inconsistent"""
"62","VTK026029","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075857033","MLB61498691","389.9","50.448833","true",""""""
"63","VTK026018","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432766466","MLB27048509","179.9","55.586437","true",""""""
"64","VTK026028","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633436","MLB34133110","509.9","50.543244","true",""""""
"65","VTK021891","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog MODEL states 0.5U while local commercial identity is 5U"""
"66","VTK001195","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"67","VTK000949","BLOCK_GTIN_MODEL_CONFLICT","","","","","false","""exact GTIN catalog identifies Multivisão KIT-2Z microwave support, not local Decore shelf kit"""
"68","VTK001011","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633498","MLB11329647","1079.9","50.621354","true",""""""
"69","VTK000301","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog title identifies 30 cm while local product is 40 cm"""
"70","VTK019016","BLOCK_CATEGORY","","","","","false","""Cabletech RGE-58 100 m has no high-confidence category"""
"71","VTK001187","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"72","VTK001137","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"73","VTK001897","SOURCE_DEFERRED","","","","","false","""Tiaflex 2x0.20 mm² 100 m lacks official identity/category evidence"""
"74","VTK001119","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"75","VTK018428","BLOCK_CATEGORY","","","","","false","""Cabletech STD-40 cable domain discovery is incompatible with the product function"""
"76","VTK018449","BLOCK_CATEGORY","","","","","false","""Viaweb VW8Z alarm panel is mapped by the catalog to a business telephone system"""
"77","VTK005411","SOURCE_DEFERRED","","","","","false","""Hayonik 7 m color/connector identity lacks exact official/catalog evidence"""
"78","VTK013085","SOURCE_DEFERRED","","","","","false","""Attack VS83/VSC83A side/color application lacks official evidence"""
"79","VTK004609","BLOCK_IMAGE","","","","","false","""local product has zero images and only an opaque local reference"""
"80","VTK018292","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""exact GTIN catalog represents a complete trio bundle, not the standalone Pioneer subwoofer"""
"81","VTK001277","BLOCK_REMOTE_DUPLICATE","","MLB15198592","","","false","""exact remote seller SKU, GTIN, or catalog match already exists"""
"82","VTK026035","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633540","MLB27716824","189.9","54.544497","true",""""""
"83","VTK018550","SOURCE_DEFERRED","","","","","false","""Bee Link Fiat Argo/Cronos application identity lacks primary documentation"""
"84","VTK018546","BLOCK_GTIN_BRAND_CONFLICT","","","","","false","""exact GTIN catalog brand is GNA, not local Viaweb"""
"85","VTK021001","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633734","MLB27957192","849.9","55.320626","true",""""""
"86","VTK004724","BLOCK_CATEGORY","","MLB36679917","","","false","""category contract/domain is not a high-confidence match"""
"87","VTK018522","BLOCK_PROTECTIVE_PRICE_ENGINE","","MLB22546869","209.9","54.864221","false","{""method"":""closed_form_then_single_validation"",""target_margin_percent"":55.00000000000001,""seed_quote"":{""price"":199.9,""fee"":{""currency_id"":""BRL"",""free_relist"":false,""listing_exposure"":""highest"",""listing_fee_amount"":0,""listing_fee_details"":{""fixed_fee"":0,""gross_amount"":0},""listing_type_id"":""gold_special"",""listing_type_name"":""Clássico"",""requires_picture"":true,""sale_fee_amount"":21.99,""sale_fee_details"":{""fixed_fee"":0,""gross_amount"":21.99,""percentage_fee"":11},""stop_time"":""2046-08-11T00:00:00.000-04:00""},""fee_components"":{""rate"":0.11,""fixed"":0,""source"":""sale_fee_details""},""shipping_data"":{""coverage"":{""all_country"":{""list_cost"":18.45,""currency_id"":""BRL"",""billable_weight"":145,""discount"":{""rate"":0.5,""type"":""mandatory"",""promoted_amount"":36.9}}}},""financial"":{""price"":199.9,""commission"":21.99,""shipping"":18.45,""cost"":40.2,""tax"":10,""profit"":109.26,""margin_percent"":54.657329}},""planned_price"":209.9,""validation"":{""price"":209.9,""fee"":{""currency_id"":""BRL"",""free_relist"":false,""listing_exposure"":""highest"",""listing_fee_amount"":0,""listing_fee_details"":{""fixed_fee"":0,""gross_amount"":0},""listing_type_id"":""gold_special"",""listing_type_name"":""Clássico"",""requires_picture"":true,""sale_fee_amount"":23.09,""sale_fee_details"":{""fixed_fee"":0,""gross_amount"":23.09,""percentage_fee"":11},""stop_time"":""2046-08-11T00:00:00.000-04:00""},""fee_components"":{""rate"":0.11,""fixed"":0,""source"":""sale_fee_details""},""shipping_data"":{""coverage"":{""all_country"":{""list_cost"":20.95,""currency_id"":""BRL"",""billable_weight"":145,""discount"":{""rate"":0.5,""type"":""mandatory"",""promoted_amount"":41.9}}}},""financial"":{""price"":209.9,""commission"":23.09,""shipping"":20.95,""cost"":40.2,""tax"":10.5,""profit"":115.16,""margin_percent"":54.864221}},""approved"":false}"
"88","VTK018517","BLOCK_CATALOG_IDENTITY","","","","","false","""catalog vehicle application states Corsa/Montana/Vectra and conflicts with local Corsa/Montana/Meriva"""
"89","VTK018480","BLOCK_CATEGORY","","","","","false","""Olimpus antenna mast category is not high-confidence"""
"90","VTK018434","SOURCE_DEFERRED","","","","","false","""Permak 12-inch grille two-unit identity lacks official package evidence"""
"91","VTK006457","BLOCK_CATALOG_IDENTITY","","MLB29477098","","","false","{""expected"":""MLB29477098"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true,""title"":false},""critical"":{""VOLTAGE"":true},""passed"":false},""results"":[""MLB29477098"",""MLB22296304""]}"
"92","VTK018446","BLOCK_CATEGORY","","MLB27787543","","","false","""category contract/domain is not a high-confidence match"""
"93","VTK001207","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"94","VTK001258","BLOCK_IMAGE","","","","","false","""local product has zero images"""
"95","VTK018435","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075857471","MLB25801009","559.9","55.681372","true",""""""
"96","VTK006377","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075857497","MLB37761258","6299.9","54.999444","true",""""""
"97","VTK018587","BLOCK_GTIN_MODEL_CONFLICT","","","","","false","""exact GTIN catalog model is 7500mAh, not local Thork 6310"""
"98","VTK026037","BLOCK_GTIN_BRAND_CONFLICT","","","","","false","""exact GTIN catalog brand is Matrix Audio, not local Mark Audio"""
"99","VTK004693","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432633862","MLB26631710","2009.9","55.122643","true",""""""
"100","VTK004630","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432766896","MLB34211048","1819.9","55.181603","true",""""""
